5334,Tegal,Jawa North Coast,"Tegal, Tegal City, Central Java, Indonesia",-6.8797041,109.1255917,Tegal,Indonesia,done,Asia/Jakarta
5353,Cilacap (Tjilatjap),Jawa South Coast,"Cilacap, Cilacap Regency, Central Java, Indonesia",-7.6982991,109.023521,Cilacap,Indonesia,done,Asia/Jakarta
5215,Banjarmasin,Kalimantan,"Banjarmasin, Banjarmasin City, South Kalimantan, Indonesia",-3.3186067,114.5943784,Banjarmasin,Indonesia,done,Asia/Makassar
5237,Berasbasah,Kalimantan,"Beras Basah, Pangkalan Susu, Langkat Regency, North Sumatra, Indonesia",4.1238914,98.2377049,,Indonesia,done,Asia/Jakarta
5237A,Bontang,Kalimantan,"Bontang, Bontang City, East Kalimantan, Indonesia",0.120863,117.4800445,Bontang,Indonesia,done,Asia/Makassar
5252,Bunyu,Kalimantan,"Bunyu, Bulungan Regency, North Kalimantan, Indonesia",3.5104911,117.8076959,,Indonesia,done,Asia/Makassar
5254,Karatung,Kalimantan,"Karatung, Nanusa, Kepulauan Talaud Regency, North Sulawesi, Indonesia",4.7469452,127.0963683,,Indonesia,done,Asia/Makassar
5208,Kualapembuang,Kalimantan,"Kuala Pembuang Satu, Seruyan Hilir, Seruyan Regency, Central Kalimantan 74215, Indonesia",-3.3792313,112.5485998,,Indonesia,done,Asia/Pontianak
5251,LINGKAS,Kalimantan,"Lingkas, Karang Anyar, Tarakan Bar., Kota Tarakan, Kalimantan Timur, Indonesia",3.312652,117.591003,Lingkas,Indonesia,done,Asia/Makassar
5239,Miang Besar,Kalimantan,"Pulau Miang Besar, Pulau Miang, Sangkulirang, Kabupaten Kutai Timur, Kalimantan Timur, Indonesia",0.7233333,118.0041667,,Indonesia,done,Asia/Makassar
5212,Pangkoh,Kalimantan,"Pangkoh Hulu, Pandih Batu, Pulang Pisau Regency, Central Kalimantan, Indonesia",-3.0423621,114.1617709,,Indonesia,done,Asia/Pontianak
5191,Pemangkat,Kalimantan,"Pemangkat, Sambas Regency, West Kalimantan, Indonesia",1.1552999,108.985882,,Indonesia,done,Asia/Pontianak
5195,Pontianak,Kalimantan,"Pontianak, West Kalimantan, Indonesia",-0.0263303,109.3425039,Pontianak,Indonesia,done,Asia/Pontianak
5193,Pulau Temaju,Kalimantan,"Temaju Island, Sungai Kunyit Laut, Kunyit River, Pontianak, West Kalimantan, Indonesia",0.4998324,108.8462363,,Indonesia,done,Asia/Makassar
5235,Samarinda,Kalimantan,"Samarinda, Samarinda City, East Kalimantan, Indonesia",-0.4948232,117.1436154,Samarinda,Indonesia,done,Asia/Makassar
5200,Sukadana,Kalimantan,"Sukadana, North Kayong Regency, West Kalimantan, Indonesia",-1.2468663,110.0926112,,Indonesia,done,Asia/Pontianak
5190,Sungai Paloh,Kalimantan,"Paloh, Sebubus, Sambas, Kabupaten Sambas, Kalimantan Barat 79466, Indonesia",1.8199703,109.4021154,,Indonesia,done,Asia/Pontianak
5226,Tanahgrogot,Kalimantan,"Tanah Grogot, Paser Regency, East Kalimantan, Indonesia",-1.8703308,116.3013267,,Indonesia,done,Asia/Makassar
5234,Tanjung Dewa,Kalimantan,"Tanjung Dewa, Panyipatan, Tanah Laut Regency, South Kalimantan, Indonesia",-4.0082148,114.6311665,,Indonesia,done,Asia/Jakarta
5244,Tanjung Birai,Kalimantan,"Bira, Bonto Bahari, Bulukumba Regency, South Sulawesi, Indonesia",-5.5987799,120.4530456,,Indonesia,done,Asia/Makassar
5236,TANJUNG MARANGKAYU,Kalimantan,"Sebuntal, Marang Kayu, Kutai Kartanegara Regency, East Kalimantan 75385, Indonesia",-0.0868078,117.4466182,,Indonesia,done,Asia/Makassar
5222,Tanjung Pamukan,Kalimantan,"Tanjung Pamukan, Sesulung, South Pamukan, Baru City Regency, South Kalimantan, Indonesia",-2.5666667,116.4833333,,Indonesia,done,Asia/Makassar
5196,Tanjung Saleh,Kalimantan,"Tanjung Saleh, Kakap River, Kubu Raya Regency, West Kalimantan, Indonesia",-0.1323815,109.1523292,,Indonesia,done,Asia/Makassar
5249,Tanjung Selor,Kalimantan,"Tandjungselor, Tj. Palas Tengah, Tj. Palas, Kabupaten Bulungan, Kalimantan Timur, Indonesia",2.834294,117.355598,Tandjungselor,Indonesia,done,Asia/Makassar
5238,Teluk Lombok,Kalimantan,"Sangkima, South Sangatta, East Kutai Regency, East Kalimantan 75683, Indonesia",0.3702549,117.5569138,,Indonesia,done,Asia/Makassar
5209,TELUK SAMPIT,Kalimantan,"Teluk Sampit, East Kotawaringin Regency, Central Kalimantan, Indonesia",-3.0570299,112.9297109,,Indonesia,done,Asia/Pontianak
4755,Pulau Beralas,Lingga Kepulauan,"Pulau Beralas Pasir, Tlk. Bakau, Gn. Kijang, Kabupaten Bintan, Kepulauan Riau, Indonesia",1.0669444,104.675,,Indonesia,done,Asia/Jakarta
4756,Pulau Berhala (Lingga Kepulauan),Lingga Kepulauan,"Pulau Berhala, Indonesia",-0.8666667,104.4166667,,Indonesia,done,Asia/Pontianak
4751,Tanjung Butun,Lingga Kepulauan,"Pelabuhan Tanjung Buton, Jl. Raya Lintas Timur sumatera, Mengkapan, Sungai Apit, Kabupaten Siak, Riau, Indonesia",0.9679836,102.251341,,Indonesia,done,Asia/Jakarta
5389,Pulau Sailus Besar,Lombok,"Pulau Sailus Besar, Sailus, Liukang Tangaya, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan, Indonesia",-7.5236111,117.4338889,,Indonesia,done,Asia/Makassar
5390,Pulau Sapuka Besar,Lombok,"Pulau Sapuka Besar, Sapuka, Liukang Tangaya, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan, Indonesia",-7.0855556,118.1677778,,Indonesia,done,Asia/Makassar
5586,Nuakata Island,Louisiade Archipelago,,-10.281775,151.017409,,Papua New Guinea,done,Asia/Pontianak
5373,Ambunten,Madura,"Ambunten, Sumenep Regency, East Java, Indonesia",-6.8934635,113.7432145,,Indonesia,done,Asia/Jakarta
5370,Gading,Madura,,-7.180495,112.900704,,Indonesia,done,Asia/Jakarta
5372,Kalianget,Madura,"Kalianget, Sumenep Regency, East Java, Indonesia",-7.0506874,113.8882172,,Indonesia,done,Asia/Jakarta
5375,Pulau Goagoa,Madura,"Pulau Goagoa, Indonesia",-7.1297222,114.7738889,,Indonesia,done,Asia/Jakarta
5374,Pulau Sapudi,Madura,"Pulau Sapudi, Gendang Bar., Gayam, Kabupaten Sumenep, Jawa Timur, Indonesia",-7.1205556,114.3330556,,Indonesia,done,Asia/Jakarta
5376,Pulau Saubi,Madura,"Saubi Island, Saubi, Kangayan, Sumenep Regency, East Java, Indonesia",-6.9937051,115.4437388,,Indonesia,done,Asia/Jakarta
5369,Sembilangan (Madura),Madura,"Sembilangan, Bangkalan Sub-District, Bangkalan Regency, East Java, Indonesia",-7.0514324,112.6824377,,Indonesia,done,Asia/Jakarta
5368,Tanjung Modung,Madura,"Tj. Modung, Tolbuk, Klampis, Kabupaten Bangkalan, Jawa Timur, Indonesia",-6.9102778,112.8236111,,Indonesia,done,Asia/Jakarta
5525,Aiduna,Papua,"Aiduna, Aindua, Mimika Bar. Jauh, Kabupaten Mimika, Papua, Indonesia",-4.436192,135.256805,Aiduna,Indonesia,done,Asia/Jayapura
5471,Bosnik,Papua,"Tim.,, Woniki, Biak Tim., Kabupaten Biak Numfor, Papua 98152, Indonesia",-1.170023,136.2279475,,Indonesia,done,Asia/Jayapura
5494,Dokkor,Papua,"Dokkor, Indonesia",-0.7666667,130.7333333,,Indonesia,done,Asia/Jayapura
5519,FAKFAK,Papua,"Fakfak Sub-District, Fakfak Regency, West Papua, Indonesia",-2.885237,132.2658282,,Indonesia,done,Asia/Jayapura
5460A,Jayapura,Papua,"Jayapura, Jayapura City, Papua, Indonesia",-2.5916025,140.6689995,Jayapura,Indonesia,done,Asia/Jayapura
5517,Kokas,Papua,,-2.699035,132.437812,,Indonesia,done,Asia/Jayapura
5469,Korido,Papua,"Korido, Odori, Supiori Sel., Kabupaten Supiori, Papua, Indonesia",-0.8142549,135.567423,Korido,Indonesia,done,Asia/Jayapura
5467,Korim,Papua,"Korim, Saukobye, Biak Utara, Kabupaten Biak Numfor, Papua, Indonesia",-0.911603,136.042612,Korim,Indonesia,done,Asia/Jayapura
5480,Manokwari,Papua,"Manokwari, Manokwari Regency, West Papua, Indonesia",-0.8614531,134.0620421,Manokwari,Indonesia,done,Asia/Jayapura
